GageID,Start Data,End Data,Min,Median,Max,Mean,slope (M),p-value (M),slope (Y),p-value (Y),County,CountyID,State,Coordinate
01656120,1996-10-01,2000-01-18,0.46,49.0,5720.0,170.91084647302898,,,,,Prince,51153,VA,"(38.64150829, -77.5124873)"
01654000,1947-10-01,2020-07-31,0.0,12.0,3600.0,29.781915717454076,0.007346725119413733,0.00025308803139173497,0.11180708272938282,0.005670880290764013,Fairfax,51059,VA,"(38.81289066, -77.2283158)"
02032000,1943-08-05,1946-09-29,0.0,4.6,1340.0,18.27161458333332,,,,,Albemarle,51003,VA,"(38.13485668, -78.7358548)"
01669000,1951-10-01,2020-07-31,0.0,22.0,1540.0,31.552948850528995,-0.0015069860279441345,0.14275421119595255,0.02046575342465696,0.18329132750051658,Essex,51057,VA,"(37.8770819, -76.900521)"
02039500,1926-04-01,2020-07-31,0.07,162.0,28000.0,284.408988855352,-0.02013037323311869,0.036975623077694864,-0.09054794520547456,0.19737974203507253,Cumberland,51049,VA,"(37.3070965, -78.388607)"
02029500,1926-04-01,1938-09-29,2.0,71.0,4330.0,117.15991237677984,0.2539859102706711,0.013103942347053865,5.293100661907646,0.06758603516369499,Albemarle,51003,VA,"(37.8401423, -78.4741759)"
0204278995,2002-11-15,2004-06-30,0.66,2.63,56.7,3.6217003367003326,,,,,York,51199,VA,"(37.2133333, -76.5291667)"
02015700,1960-08-01,2020-07-31,22.0,84.7,8700.0,155.11042664841415,0.029745938693347428,0.002755866390326267,0.6616370542261691,0.010075574658655606,Bath,51017,VA,"(38.19540308, -79.57032338)"
02024915,2002-11-08,2020-07-31,0.29,29.7,1060.0,42.08018993205683,-0.03266779047671631,0.07765339375805416,0.0941888001014739,0.22142524537781721,Amherst,51009,VA,"(37.6975, -79.2783333)"
02021500,1928-10-01,2020-07-31,7.1,158.0,41500.0,390.3046291216993,0.028914141414141413,0.017525327748489306,0.9767849858291868,0.018259257500529646,Rockbridge,51163,VA,"(37.90735266, -79.42198289)"
01607500,1943-08-27,2020-07-31,0.2,39.3,7500.0,104.99109968326209,0.0061105760047416545,0.06809490625174075,0.22211433803880842,0.03590386117663913,Pendleton,54071,WV,"(38.63150665, -79.2436497)"
02014500,1947-10-01,1956-09-29,1.4,8.8,470.0,18.336598722239124,,,,,Alleghany,51005,VA,"(37.85151605, -79.8464405)"
02032640,1993-10-01,2020-07-31,0.28,68.5,11500.0,132.43363343047483,0.005783992075188002,0.22655190877383125,0.6915640099626266,0.13142787737484513,Albemarle,51003,VA,"(38.1634674, -78.4247323)"
01645704,2007-09-21,2020-07-31,0.0,3.93,854.0,8.900065985525755,0.0010436827956990524,0.20634391845648697,-0.12934223422728186,0.16256064974122486,Fairfax,51059,VA,"(38.88469518, -77.3324293)"
01636210,1948-10-01,1977-10-19,0.08,6.5,755.0,14.033980774667711,0.0016173820009770818,0.14784742971219428,-0.05515522235082056,0.16485611502407993,Warren,51187,VA,"(38.90566749, -78.18583339)"
01670300,1975-10-01,1986-12-31,0.04,2.7,320.0,5.0494233576642085,-0.007589816571790005,,-0.02510289276024146,0.19676407965554432,Louisa,51109,VA,"(38.06486, -77.8788839)"
02037500,1934-10-01,2020-07-31,10.0,4230.0,296000.0,7056.144379226745,0.8041004420201239,0.014328354316349712,14.238127853881274,0.04373930160166084,Henrico,51087,VA,"(37.5632022, -77.5469314)"
01668500,1943-10-01,1999-09-29,0.0,30.0,2390.0,45.440094362685336,0.010136129518927386,0.018235566332836572,0.2625765713501508,0.011083978537498318,Richmond,51159,VA,"(38.03985476, -76.8269072)"
01656100,1972-10-01,1999-02-24,0.16,48.0,10400.0,180.20325065881298,-0.15565761177136392,0.012041760970089454,-5.069890196702589,0.06057818291806963,Prince,51153,VA,"(38.6162316, -77.5541545)"
01651000,1938-07-01,2020-07-31,0.4,25.0,5480.0,51.75711760389599,0.025674367886594426,5.551115123125783e-17,0.34749510763209174,9.497867231589296e-08,Prince,24033,MD,"(38.9523333, -76.9660556)"
01621050,1993-04-13,2020-07-31,0.26,5.66,1760.0,10.442714600882468,-0.0006803041108916642,5.286339579992518e-11,0.03325071585107407,0.18284573029706347,Rockingham,51165,VA,"(38.48679008, -78.96030749)"
01669500,1943-10-01,1981-09-29,0.0,57.0,3790.0,85.76643994524098,0.004711493608456517,0.19909929226316003,0.20227135840429994,0.16343349040923333,Middlesex,51119,VA,"(37.6848636, -76.7266258)"
02012000,1948-04-01,1952-09-29,5.5,15.0,235.0,20.398539257455894,,,,,Alleghany,51005,VA,"(37.86818106, -79.9456116)"
01657500,1913-04-01,1956-03-31,1.0,174.0,27700.0,484.4343639475185,0.2570277920009103,0.04794552448649575,5.106849315068491,0.036034487050460196,Prince,51153,VA,"(38.70567138, -77.326096)"
